rgdpo;rkna;hc;emp
 113,028 ; 0.05 ; 1.33 ; 18.99 
 121,660 ; 0.05 ; 1.34 ; 19.53 
 126,157 ; 0.05 ; 1.35 ; 20.10 
 137,199 ; 0.05 ; 1.36 ; 20.68 
 145,166 ; 0.06 ; 1.37 ; 21.29 
 151,863 ; 0.06 ; 1.38 ; 21.92 
 166,540 ; 0.06 ; 1.40 ; 22.58 
 189,671 ; 0.07 ; 1.41 ; 23.11 
 204,087 ; 0.07 ; 1.42 ; 23.67 
 218,231 ; 0.08 ; 1.43 ; 24.25 
 228,095 ; 0.08 ; 1.44 ; 24.86 
 242,628 ; 0.08 ; 1.45 ; 25.49 
 254,559 ; 0.09 ; 1.46 ; 26.16 
 276,456 ; 0.09 ; 1.47 ; 26.85 
 305,421 ; 0.10 ; 1.49 ; 27.57 
 310,830 ; 0.11 ; 1.50 ; 28.33 
 354,428 ; 0.12 ; 1.51 ; 29.12 
 397,864 ; 0.13 ; 1.50 ; 30.82 
 445,992 ; 0.14 ; 1.49 ; 32.53 
 506,448 ; 0.16 ; 1.48 ; 36.50 
 550,841 ; 0.18 ; 1.47 ; 37.40 
 574,167 ; 0.20 ; 1.46 ; 38.37 
 623,541 ; 0.22 ; 1.46 ; 39.42 
 637,973 ; 0.24 ; 1.47 ; 43.25 
 663,618 ; 0.26 ; 1.47 ; 44.65 
 709,012 ; 0.28 ; 1.48 ; 43.83 
 709,314 ; 0.31 ; 1.48 ; 43.31 
 735,148 ; 0.32 ; 1.51 ; 45.12 
 752,343 ; 0.34 ; 1.53 ; 47.56 
 736,501 ; 0.34 ; 1.56 ; 48.10 
 763,958 ; 0.35 ; 1.59 ; 49.83 
 803,910 ; 0.36 ; 1.62 ; 53.52 
 918,831 ; 0.38 ; 1.64 ; 55.02 
 949,521 ; 0.39 ; 1.66 ; 56.98 
 956,652 ; 0.41 ; 1.68 ; 58.94 
 978,165 ; 0.42 ; 1.70 ; 60.16 
 954,572 ; 0.43 ; 1.72 ; 61.63 
 1,041,851 ; 0.45 ; 1.74 ; 61.45 
 1,071,129 ; 0.46 ; 1.77 ; 61.27 
 1,155,152 ; 0.47 ; 1.80 ; 61.98 
 1,300,093 ; 0.49 ; 1.83 ; 62.46 
 1,513,902 ; 0.51 ; 1.86 ; 62.93 
 1,817,953 ; 0.53 ; 1.90 ; 61.78 
 1,761,592 ; 0.56 ; 1.93 ; 62.80 
 1,687,990 ; 0.58 ; 1.97 ; 62.61 
 1,630,692 ; 0.60 ; 2.01 ; 65.89 
 1,653,572 ; 0.61 ; 2.05 ; 68.13 
 1,645,850 ; 0.63 ; 2.09 ; 68.46 
 1,657,569 ; 0.64 ; 2.13 ; 71.25 
 1,651,363 ; 0.65 ; 2.17 ; 72.30 
 1,738,794 ; 0.67 ; 2.21 ; 76.16 
 1,802,952 ; 0.69 ; 2.26 ; 78.41 
 1,967,472 ; 0.71 ; 2.30 ; 80.88 
 2,191,639 ; 0.73 ; 2.34 ; 81.35 
 2,439,879 ; 0.77 ; 2.38 ; 82.76 
 2,531,593 ; 0.79 ; 2.43 ; 83.15 
 2,938,156 ; 0.83 ; 2.47 ; 86.35 
 3,280,996 ; 0.87 ; 2.56 ; 88.63 
 3,271,619 ; 0.91 ; 2.62 ; 89.51 
 3,306,056 ; 0.94 ; 2.68 ; 91.15 
 3,297,538 ; 0.98 ; 2.75 ; 92.83 
 3,082,939 ; 0.99 ; 2.81 ; 92.45 
 2,931,514 ; 0.99 ; 2.88 ; 90.63 
 2,968,826 ; 1.00 ; 2.95 ; 90.50 
 3,042,122 ; 1.01 ; 3.02 ; 92.09 
 3,080,049 ; 1.02 ; 3.09 ; 93.96 
